Equipo,Fecha de Inicio de Mantenimiento,Fecha de Término de Mantenimiento,Falla Identificada,Descripción de la Falla,Causa Raíz,Tiempo Estimado de Mantenimiento (hrs),Tiempo Real de Mantenimiento (hrs)
Digestores,2027-05-15,2027-05-15 08:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Error humano,8,8
Digestores,2027-07-14,2027-07-14 06:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Falla mecánica,8,6
Tamices o Cribas,2027-08-13,2027-08-13 05:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Desgaste natural,6,5
Digestores,2027-10-12,2027-10-12 05:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Corrosión,4,5
Lavadoras de Pulpa,2027-11-26,2027-11-29 02:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Desgaste natural,72,74
Tamices o Cribas,2027-12-26,2027-12-28 00:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,48,48
Tamices o Cribas,2028-01-25,2028-01-25 10:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Desgaste natural,8,10
Bombas,2028-03-05,2028-03-05 06:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Condiciones operativas extremas,4,6
Lavadoras de Pulpa,2028-04-19,2028-04-22 00:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Falla mecánica,72,72
Digestores,2028-06-18,2028-06-20 23:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Desgaste natural,72,71
Lavadoras de Pulpa,2028-08-02,2028-08-03 00:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Condiciones operativas extremas,24,24
Digestores,2028-10-01,2028-10-01 14:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Sobrecarga,12,14
Prensas,2028-11-05,2028-11-05 10:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,8,10
Refinadores,2028-12-25,2028-12-28 00:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Desgaste natural,72,72
Tamices o Cribas,2029-01-24,2029-01-24 11:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,12,11
Lavadoras de Pulpa,2029-03-10,2029-03-11 22:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Falla mecánica,48,46
Prensas,2029-04-14,2029-04-14 13:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Corrosión,12,13
Refinadores,2029-06-03,2029-06-03 12:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Condiciones operativas extremas,12,12
Lavadoras de Pulpa,2029-07-18,2029-07-18 10:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Condiciones operativas extremas,12,10
Bombas,2029-08-27,2029-08-27 02:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Sobrecarga,4,2
Tamices o Cribas,2029-09-26,2029-09-26 05:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,4,5
Prensas,2029-10-31,2029-10-31 08:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Mantenimiento insuficiente,8,8
Digestores,2029-12-30,2029-12-30 22:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Error humano,24,22
Tamices o Cribas,2030-01-29,2030-01-29 12:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,12,12
Bombas,2030-03-10,2030-03-10 10:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Mantenimiento insuficiente,12,10
Bombas,2030-04-19,2030-04-19 07:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Falla mecánica,6,7
Refinadores,2030-06-08,2030-06-10 23:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Error humano,72,71
Tamices o Cribas,2030-07-08,2030-07-08 22:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Corrosión,24,22
Digestores,2030-09-06,2030-09-06 03:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Sobrecarga,4,3
Lavadoras de Pulpa,2030-10-21,2030-10-23 02:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Falla mecánica,48,50
Digestores,2030-12-20,2030-12-20 07:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Error humano,8,7
Prensas,2031-01-24,2031-01-24 07:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Corrosión,6,7
Tamices o Cribas,2031-02-23,2031-02-23 06:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,8,6
Bombas,2031-04-04,2031-04-04 11:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Error humano,12,11
Bombas,2031-05-14,2031-05-14 06:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Mantenimiento insuficiente,8,6
Digestores,2031-07-13,2031-07-15 02:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Falla mecánica,48,50
Tamices o Cribas,2031-08-12,2031-08-12 12:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Sobrecarga,12,12
Refinadores,2031-10-01,2031-10-01 06:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Sobrecarga,6,6
Tamices o Cribas,2031-10-31,2031-11-03 01:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Falla mecánica,72,73
Digestores,2031-12-30,2032-01-01 23:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Falla mecánica,72,71
Digestores,2032-02-28,2032-02-28 10:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Condiciones operativas extremas,12,10
Digestores,2032-04-28,2032-04-30 23:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Fatiga del material,72,71
Tamices o Cribas,2032-05-28,2032-05-28 11:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Corrosión,12,11
Digestores,2032-07-27,2032-07-27 04:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Mantenimiento insuficiente,6,4
Bombas,2032-09-05,2032-09-06 00:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Falla mecánica,24,24
Digestores,2032-11-04,2032-11-04 08:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Falla mecánica,8,8
Tamices o Cribas,2032-12-04,2032-12-05 22:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Fatiga del material,48,46
Refinadores,2033-01-23,2033-01-23 05:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Fatiga del material,4,5
Bombas,2033-03-04,2033-03-04 06:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Error humano,8,6
Tamices o Cribas,2033-04-03,2033-04-03 23:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Desgaste natural,24,23
Bombas,2033-05-13,2033-05-13 06:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Sobrecarga,6,6
Prensas,2033-06-17,2033-06-17 10:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Mantenimiento insuficiente,12,10
Refinadores,2033-08-06,2033-08-08 02:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Error humano,48,50
Refinadores,2033-09-25,2033-09-28 00:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Falla mecánica,72,72
Digestores,2033-11-24,2033-11-24 12:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Corrosión,12,12
Tamices o Cribas,2033-12-24,2033-12-27 02:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Fatiga del material,72,74
Tamices o Cribas,2034-01-23,2034-01-23 08:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Condiciones operativas extremas,8,8
Lavadoras de Pulpa,2034-03-09,2034-03-10 22:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Sobrecarga,48,46
Refinadores,2034-04-28,2034-04-28 06:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Error humano,4,6
Refinadores,2034-06-17,2034-06-17 09:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Condiciones operativas extremas,8,9
Tamices o Cribas,2034-07-17,2034-07-17 02:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Sobrecarga,4,2
Refinadores,2034-09-05,2034-09-07 02:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Desgaste natural,48,50
Bombas,2034-10-15,2034-10-17 00:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Desgaste natural,48,48
Refinadores,2034-12-04,2034-12-05 02:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Condiciones operativas extremas,24,26
Digestores,2035-02-02,2035-02-03 00:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Fatiga del material,24,24
Refinadores,2035-03-24,2035-03-24 14:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Error humano,12,14
Prensas,2035-04-28,2035-04-30 22:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Error humano,72,70
Tamices o Cribas,2035-05-28,2035-05-28 04:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,6,4
Lavadoras de Pulpa,2035-07-12,2035-07-13 23:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Sobrecarga,48,47
Tamices o Cribas,2035-08-11,2035-08-12 23:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Condiciones operativas extremas,48,47
Bombas,2035-09-20,2035-09-20 06:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Fatiga del material,6,6
Lavadoras de Pulpa,2035-11-04,2035-11-04 04:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Falla mecánica,6,4
Digestores,2036-01-03,2036-01-03 10:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Error humano,8,10
Lavadoras de Pulpa,2036-02-17,2036-02-17 06:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Corrosión,6,6
Lavadoras de Pulpa,2036-04-02,2036-04-03 01:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Falla mecánica,24,25
Lavadoras de Pulpa,2036-05-17,2036-05-17 05:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Fatiga del material,4,5
Prensas,2036-06-21,2036-06-21 05:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Desgaste natural,4,5
Tamices o Cribas,2036-07-21,2036-07-24 01:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Corrosión,72,73
Lavadoras de Pulpa,2036-09-04,2036-09-07 00:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Error humano,72,72
Digestores,2036-11-03,2036-11-06 02:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Error humano,72,74
Bombas,2036-12-13,2036-12-13 04:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Condiciones operativas extremas,6,4
Refinadores,2037-02-01,2037-02-03 00:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Corrosión,48,48
Refinadores,2037-03-23,2037-03-23 06:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Falla mecánica,4,6
Refinadores,2037-05-12,2037-05-12 14:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Desgaste natural,12,14
Refinadores,2037-07-01,2037-07-02 01:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Condiciones operativas extremas,24,25
Bombas,2037-08-10,2037-08-10 09:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Mantenimiento insuficiente,8,9
Prensas,2037-09-14,2037-09-14 11:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Falla mecánica,12,11
Bombas,2037-10-24,2037-10-24 04:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Falla mecánica,4,4
Refinadores,2037-12-13,2037-12-15 23:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Mantenimiento insuficiente,72,71
Prensas,2038-01-17,2038-01-17 22:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Fatiga del material,24,22
Refinadores,2038-03-08,2038-03-08 03:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Corrosión,4,3
Lavadoras de Pulpa,2038-04-22,2038-04-24 23:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Corrosión,72,71
Bombas,2038-06-01,2038-06-01 06:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Fatiga del material,4,6
Prensas,2038-07-06,2038-07-07 02:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,24,26
Bombas,2038-08-15,2038-08-18 00:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Sobrecarga,72,72
Refinadores,2038-10-04,2038-10-04 10:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Condiciones operativas extremas,8,10
Bombas,2038-11-13,2038-11-14 01:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Sobrecarga,24,25
Prensas,2038-12-18,2038-12-18 05:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,4,5
Prensas,2039-01-22,2039-01-22 05:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Corrosión,6,5
Prensas,2039-02-26,2039-02-26 10:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Sobrecarga,12,10
Bombas,2039-04-07,2039-04-07 23:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Falla mecánica,24,23
Lavadoras de Pulpa,2039-05-22,2039-05-23 01:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Falla mecánica,24,25
Lavadoras de Pulpa,2039-07-06,2039-07-08 23:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Mantenimiento insuficiente,72,71
Lavadoras de Pulpa,2039-08-20,2039-08-20 04:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Mantenimiento insuficiente,6,4
Prensas,2039-09-24,2039-09-24 11:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,12,11
Digestores,2039-11-23,2039-11-23 13:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Error humano,12,13
Lavadoras de Pulpa,2040-01-07,2040-01-07 10:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Desgaste natural,12,10
Digestores,2040-03-07,2040-03-07 08:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Error humano,8,8
Prensas,2040-04-11,2040-04-11 06:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Falla mecánica,8,6
Digestores,2040-06-10,2040-06-10 09:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Sobrecarga,8,9
Prensas,2040-07-15,2040-07-15 11:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Condiciones operativas extremas,12,11
Prensas,2040-08-19,2040-08-19 06:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Desgaste natural,6,6
Digestores,2040-10-18,2040-10-18 23:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Desgaste natural,24,23
Lavadoras de Pulpa,2040-12-02,2040-12-03 23:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Corrosión,48,47
Tamices o Cribas,2041-01-01,2041-01-04 01:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Desgaste natural,72,73
Lavadoras de Pulpa,2041-02-15,2041-02-15 08:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Error humano,6,8
Tamices o Cribas,2041-03-17,2041-03-17 10:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Error humano,12,10
Prensas,2041-04-21,2041-04-21 05:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Falla mecánica,4,5
Lavadoras de Pulpa,2041-06-05,2041-06-05 04:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Condiciones operativas extremas,4,4
Digestores,2041-08-04,2041-08-04 11:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Falla mecánica,12,11
Digestores,2041-10-03,2041-10-06 02:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Condiciones operativas extremas,72,74
Refinadores,2041-11-22,2041-11-25 02:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Falla mecánica,72,74
Digestores,2042-01-21,2042-01-21 02:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Sobrecarga,4,2
Digestores,2042-03-22,2042-03-22 10:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Corrosión,12,10
Bombas,2042-05-01,2042-05-01 08:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Error humano,8,8
Digestores,2042-06-30,2042-06-30 04:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Fatiga del material,4,4
Refinadores,2042-08-19,2042-08-22 01:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Fatiga del material,72,73
Bombas,2042-09-28,2042-09-28 12:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Corrosión,12,12
Lavadoras de Pulpa,2042-11-12,2042-11-13 02:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Error humano,24,26
Tamices o Cribas,2042-12-12,2042-12-12 05:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,4,5
Tamices o Cribas,2043-01-11,2043-01-11 14:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Error humano,12,14
Digestores,2043-03-12,2043-03-13 02:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Error humano,24,26
Lavadoras de Pulpa,2043-04-26,2043-04-28 23:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Corrosión,72,71
Prensas,2043-05-31,2043-06-03 02:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,72,74
Tamices o Cribas,2043-06-30,2043-06-30 07:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Desgaste natural,6,7
Digestores,2043-08-29,2043-08-29 07:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Condiciones operativas extremas,6,7
Digestores,2043-10-28,2043-10-30 02:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Corrosión,48,50
Lavadoras de Pulpa,2043-12-12,2043-12-12 06:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Sobrecarga,6,6
Lavadoras de Pulpa,2044-01-26,2044-01-27 02:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Fatiga del material,24,26
Prensas,2044-03-01,2044-03-01 10:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Corrosión,8,10
Digestores,2044-04-30,2044-04-30 10:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Mantenimiento insuficiente,12,10
Digestores,2044-06-29,2044-06-29 13:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Fatiga del material,12,13
Bombas,2044-08-08,2044-08-08 10:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Fatiga del material,8,10
Refinadores,2044-09-27,2044-09-30 00:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Desgaste natural,72,72
Lavadoras de Pulpa,2044-11-11,2044-11-11 08:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Falla mecánica,8,8
Prensas,2044-12-16,2044-12-16 07:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,6,7
Bombas,2045-01-25,2045-01-25 13:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Error humano,12,13
Prensas,2045-03-01,2045-03-01 02:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,4,2
Tamices o Cribas,2045-03-31,2045-03-31 10:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Falla mecánica,12,10
Refinadores,2045-05-20,2045-05-20 02:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Desgaste natural,4,2
Bombas,2045-06-29,2045-06-30 23:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Corrosión,48,47
Refinadores,2045-08-18,2045-08-19 02:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Sobrecarga,24,26
Prensas,2045-09-22,2045-09-24 02:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Sobrecarga,48,50
Tamices o Cribas,2045-10-22,2045-10-23 01:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,24,25
Tamices o Cribas,2045-11-21,2045-11-21 10:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Mantenimiento insuficiente,12,10
Lavadoras de Pulpa,2046-01-05,2046-01-05 02:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Sobrecarga,4,2
Bombas,2046-02-14,2046-02-16 22:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Desgaste natural,72,70
Prensas,2046-03-21,2046-03-23 00:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Corrosión,48,48
Digestores,2046-05-20,2046-05-20 11:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Sobrecarga,12,11
Bombas,2046-06-29,2046-06-29 07:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Error humano,6,7
Refinadores,2046-08-18,2046-08-18 07:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Condiciones operativas extremas,6,7
Lavadoras de Pulpa,2046-10-02,2046-10-02 14:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Desgaste natural,12,14
Digestores,2046-12-01,2046-12-02 22:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Fatiga del material,48,46
Digestores,2047-01-30,2047-01-31 01:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Sobrecarga,24,25
Prensas,2047-03-06,2047-03-07 02:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Sobrecarga,24,26
Bombas,2047-04-15,2047-04-15 23:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Falla mecánica,24,23
Tamices o Cribas,2047-05-15,2047-05-15 22:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Mantenimiento insuficiente,24,22
Lavadoras de Pulpa,2047-06-29,2047-06-30 23:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Condiciones operativas extremas,48,47
Tamices o Cribas,2047-07-29,2047-07-29 22:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Corrosión,24,22
